Vardas         Pavarde        Galutinis balas (vid.)
---------------------------------------------------------------------
Vardas2         Pavarde2        6.28
Vardas6         Pavarde6        8.64
Vardas10        Pavarde10       5.56
Vardas11        Pavarde11       6.16
Vardas12        Pavarde12       6.84
Vardas14        Pavarde14       5.12
Vardas15        Pavarde15       7.48
Vardas17        Pavarde17       6.52
Vardas18        Pavarde18       5.40
Vardas19        Pavarde19       6.08
Vardas20        Pavarde20       6.84
Vardas23        Pavarde23       7.04
Vardas24        Pavarde24       8.32
Vardas25        Pavarde25       5.20
Vardas27        Pavarde27       6.52
Vardas29        Pavarde29       5.40
Vardas30        Pavarde30       5.04
Vardas32        Pavarde32       5.80
Vardas33        Pavarde33       5.84
Vardas34        Pavarde34       7.80
Vardas36        Pavarde36       8.76
Vardas39        Pavarde39       5.24
Vardas40        Pavarde40       7.20
Vardas44        Pavarde44       5.56
Vardas47        Pavarde47       6.28
Vardas49        Pavarde49       8.72
Vardas52        Pavarde52       6.56
Vardas53        Pavarde53       7.88
Vardas56        Pavarde56       8.08
Vardas57        Pavarde57       6.48
Vardas61        Pavarde61       6.92
Vardas62        Pavarde62       8.08
Vardas63        Pavarde63       8.24
Vardas66        Pavarde66       6.44
Vardas67        Pavarde67       5.64
Vardas68        Pavarde68       5.24
Vardas73        Pavarde73       6.68
Vardas74        Pavarde74       6.80
Vardas76        Pavarde76       6.60
Vardas77        Pavarde77       7.52
Vardas78        Pavarde78       7.36
Vardas79        Pavarde79       8.56
Vardas80        Pavarde80       8.48
Vardas81        Pavarde81       7.36
Vardas82        Pavarde82       6.96
Vardas83        Pavarde83       7.36
Vardas84        Pavarde84       5.56
Vardas86        Pavarde86       6.52
Vardas87        Pavarde87       5.96
Vardas89        Pavarde89       6.60
Vardas90        Pavarde90       5.60
Vardas91        Pavarde91       7.12
Vardas93        Pavarde93       7.44
Vardas94        Pavarde94       7.28
Vardas95        Pavarde95       6.92
Vardas96        Pavarde96       6.56
Vardas97        Pavarde97       5.20
Vardas98        Pavarde98       7.52
Vardas100       Pavarde100      5.16
Vardas106       Pavarde106      7.40
Vardas108       Pavarde108      6.92
Vardas109       Pavarde109      7.12
Vardas110       Pavarde110      7.60
Vardas111       Pavarde111      6.72
Vardas115       Pavarde115      6.48
Vardas116       Pavarde116      5.96
Vardas117       Pavarde117      8.88
Vardas119       Pavarde119      6.64
Vardas120       Pavarde120      5.76
Vardas124       Pavarde124      6.32
Vardas125       Pavarde125      7.04
Vardas126       Pavarde126      5.52
Vardas131       Pavarde131      6.56
Vardas132       Pavarde132      5.40
Vardas133       Pavarde133      7.68
Vardas136       Pavarde136      7.84
Vardas137       Pavarde137      7.60
Vardas138       Pavarde138      5.56
Vardas139       Pavarde139      7.88
Vardas140       Pavarde140      6.84
Vardas142       Pavarde142      8.36
Vardas143       Pavarde143      6.08
Vardas147       Pavarde147      5.72
Vardas148       Pavarde148      6.64
Vardas149       Pavarde149      7.68
Vardas150       Pavarde150      5.44
Vardas155       Pavarde155      6.68
Vardas157       Pavarde157      5.60
Vardas159       Pavarde159      7.92
Vardas160       Pavarde160      8.48
Vardas162       Pavarde162      7.68
Vardas164       Pavarde164      7.08
Vardas165       Pavarde165      7.80
Vardas166       Pavarde166      5.00
Vardas168       Pavarde168      8.48
Vardas173       Pavarde173      8.16
Vardas175       Pavarde175      7.52
Vardas179       Pavarde179      5.16
Vardas180       Pavarde180      7.16
Vardas183       Pavarde183      7.44
Vardas184       Pavarde184      5.60
Vardas188       Pavarde188      9.52
Vardas191       Pavarde191      7.04
Vardas196       Pavarde196      6.48
Vardas197       Pavarde197      7.00
Vardas199       Pavarde199      8.48
Vardas202       Pavarde202      7.84
Vardas203       Pavarde203      5.72
Vardas204       Pavarde204      7.12
Vardas205       Pavarde205      7.76
Vardas206       Pavarde206      7.76
Vardas207       Pavarde207      7.76
Vardas209       Pavarde209      8.24
Vardas210       Pavarde210      8.40
Vardas211       Pavarde211      6.32
Vardas212       Pavarde212      5.92
Vardas213       Pavarde213      6.80
Vardas214       Pavarde214      5.68
Vardas216       Pavarde216      5.44
Vardas218       Pavarde218      8.56
Vardas219       Pavarde219      6.68
Vardas223       Pavarde223      7.84
Vardas224       Pavarde224      7.92
Vardas226       Pavarde226      6.96
Vardas227       Pavarde227      5.08
Vardas228       Pavarde228      5.40
Vardas229       Pavarde229      6.96
Vardas231       Pavarde231      6.28
Vardas233       Pavarde233      6.52
Vardas235       Pavarde235      6.44
Vardas236       Pavarde236      7.04
Vardas239       Pavarde239      6.08
Vardas241       Pavarde241      8.08
Vardas243       Pavarde243      8.16
Vardas244       Pavarde244      8.00
Vardas246       Pavarde246      5.32
Vardas247       Pavarde247      7.76
Vardas251       Pavarde251      5.20
Vardas252       Pavarde252      6.52
Vardas254       Pavarde254      7.44
Vardas255       Pavarde255      5.56
Vardas257       Pavarde257      6.48
Vardas258       Pavarde258      8.48
Vardas259       Pavarde259      5.76
Vardas260       Pavarde260      5.00
Vardas261       Pavarde261      6.76
Vardas262       Pavarde262      6.56
Vardas263       Pavarde263      8.32
Vardas265       Pavarde265      8.04
Vardas266       Pavarde266      7.08
Vardas268       Pavarde268      6.28
Vardas269       Pavarde269      5.44
Vardas270       Pavarde270      6.16
Vardas271       Pavarde271      7.68
Vardas272       Pavarde272      5.44
Vardas275       Pavarde275      7.52
Vardas278       Pavarde278      5.04
Vardas279       Pavarde279      5.40
Vardas283       Pavarde283      7.04
Vardas286       Pavarde286      5.44
Vardas287       Pavarde287      8.00
Vardas290       Pavarde290      8.36
Vardas292       Pavarde292      6.24
Vardas294       Pavarde294      7.88
Vardas299       Pavarde299      7.64
Vardas303       Pavarde303      6.00
Vardas305       Pavarde305      6.84
Vardas307       Pavarde307      7.28
Vardas311       Pavarde311      7.20
Vardas312       Pavarde312      9.68
Vardas313       Pavarde313      6.52
Vardas316       Pavarde316      5.00
Vardas319       Pavarde319      5.40
Vardas320       Pavarde320      5.00
Vardas321       Pavarde321      5.92
Vardas322       Pavarde322      5.88
Vardas324       Pavarde324      8.20
Vardas325       Pavarde325      6.96
Vardas327       Pavarde327      7.12
Vardas331       Pavarde331      7.32
Vardas332       Pavarde332      6.12
Vardas333       Pavarde333      6.32
Vardas334       Pavarde334      5.88
Vardas335       Pavarde335      6.96
Vardas336       Pavarde336      7.32
Vardas337       Pavarde337      7.00
Vardas338       Pavarde338      6.72
Vardas339       Pavarde339      5.20
Vardas344       Pavarde344      5.56
Vardas345       Pavarde345      5.36
Vardas346       Pavarde346      7.36
Vardas347       Pavarde347      9.20
Vardas348       Pavarde348      8.72
Vardas349       Pavarde349      6.44
Vardas350       Pavarde350      6.36
Vardas353       Pavarde353      5.64
Vardas354       Pavarde354      8.48
Vardas356       Pavarde356      6.48
Vardas357       Pavarde357      6.44
Vardas358       Pavarde358      8.04
Vardas360       Pavarde360      5.52
Vardas361       Pavarde361      7.44
Vardas362       Pavarde362      6.72
Vardas363       Pavarde363      5.96
Vardas364       Pavarde364      7.92
Vardas365       Pavarde365      8.48
Vardas366       Pavarde366      6.00
Vardas369       Pavarde369      6.12
Vardas370       Pavarde370      5.04
Vardas372       Pavarde372      6.08
Vardas376       Pavarde376      5.36
Vardas380       Pavarde380      7.88
Vardas381       Pavarde381      5.00
Vardas383       Pavarde383      8.00
Vardas384       Pavarde384      8.08
Vardas385       Pavarde385      8.12
Vardas387       Pavarde387      8.36
Vardas390       Pavarde390      6.52
Vardas396       Pavarde396      7.68
Vardas397       Pavarde397      8.12
Vardas398       Pavarde398      5.96
Vardas399       Pavarde399      8.48
Vardas400       Pavarde400      5.68
Vardas401       Pavarde401      5.56
Vardas403       Pavarde403      6.04
Vardas404       Pavarde404      8.12
Vardas406       Pavarde406      5.28
Vardas409       Pavarde409      9.20
Vardas410       Pavarde410      5.44
Vardas414       Pavarde414      5.40
Vardas415       Pavarde415      6.96
Vardas416       Pavarde416      6.68
Vardas417       Pavarde417      5.28
Vardas418       Pavarde418      8.24
Vardas420       Pavarde420      8.24
Vardas422       Pavarde422      7.24
Vardas423       Pavarde423      5.72
Vardas424       Pavarde424      5.64
Vardas425       Pavarde425      6.16
Vardas426       Pavarde426      6.00
Vardas427       Pavarde427      9.36
Vardas429       Pavarde429      8.36
Vardas431       Pavarde431      8.80
Vardas433       Pavarde433      5.28
Vardas435       Pavarde435      6.12
Vardas436       Pavarde436      5.12
Vardas438       Pavarde438      8.28
Vardas439       Pavarde439      6.20
Vardas442       Pavarde442      6.52
Vardas443       Pavarde443      8.56
Vardas444       Pavarde444      7.84
Vardas445       Pavarde445      5.88
Vardas447       Pavarde447      5.76
Vardas448       Pavarde448      8.88
Vardas449       Pavarde449      8.88
Vardas451       Pavarde451      8.32
Vardas452       Pavarde452      6.96
Vardas454       Pavarde454      7.64
Vardas455       Pavarde455      8.56
Vardas459       Pavarde459      9.04
Vardas460       Pavarde460      6.64
Vardas461       Pavarde461      6.88
Vardas464       Pavarde464      8.16
Vardas466       Pavarde466      5.16
Vardas467       Pavarde467      7.44
Vardas472       Pavarde472      7.56
Vardas474       Pavarde474      5.64
Vardas475       Pavarde475      6.56
Vardas478       Pavarde478      8.16
Vardas480       Pavarde480      8.32
Vardas481       Pavarde481      7.20
Vardas482       Pavarde482      8.40
Vardas484       Pavarde484      5.40
Vardas487       Pavarde487      6.16
Vardas488       Pavarde488      5.04
Vardas491       Pavarde491      7.16
Vardas493       Pavarde493      8.40
Vardas494       Pavarde494      8.60
Vardas495       Pavarde495      6.84
Vardas496       Pavarde496      8.40
Vardas498       Pavarde498      6.32
Vardas500       Pavarde500      6.40
Vardas501       Pavarde501      6.24
Vardas502       Pavarde502      6.76
Vardas503       Pavarde503      6.48
Vardas504       Pavarde504      6.84
Vardas506       Pavarde506      7.52
Vardas507       Pavarde507      7.60
Vardas508       Pavarde508      6.84
Vardas509       Pavarde509      5.92
Vardas510       Pavarde510      5.20
Vardas512       Pavarde512      7.80
Vardas516       Pavarde516      7.12
Vardas520       Pavarde520      5.04
Vardas522       Pavarde522      9.28
Vardas523       Pavarde523      7.44
Vardas524       Pavarde524      7.04
Vardas525       Pavarde525      6.40
Vardas527       Pavarde527      8.88
Vardas528       Pavarde528      5.60
Vardas529       Pavarde529      6.20
Vardas530       Pavarde530      7.00
Vardas531       Pavarde531      6.32
Vardas534       Pavarde534      7.00
Vardas535       Pavarde535      6.16
Vardas536       Pavarde536      7.92
Vardas537       Pavarde537      5.28
Vardas538       Pavarde538      5.08
Vardas539       Pavarde539      6.40
Vardas540       Pavarde540      5.80
Vardas541       Pavarde541      7.92
Vardas542       Pavarde542      6.36
Vardas544       Pavarde544      5.44
Vardas545       Pavarde545      7.12
Vardas546       Pavarde546      5.00
Vardas551       Pavarde551      8.60
Vardas553       Pavarde553      7.60
Vardas554       Pavarde554      7.80
Vardas555       Pavarde555      5.64
Vardas557       Pavarde557      7.68
Vardas559       Pavarde559      5.88
Vardas561       Pavarde561      8.88
Vardas562       Pavarde562      6.88
Vardas564       Pavarde564      5.64
Vardas567       Pavarde567      6.92
Vardas568       Pavarde568      6.52
Vardas571       Pavarde571      5.96
Vardas572       Pavarde572      6.36
Vardas574       Pavarde574      6.92
Vardas576       Pavarde576      6.08
Vardas579       Pavarde579      8.72
Vardas580       Pavarde580      8.76
Vardas582       Pavarde582      7.20
Vardas584       Pavarde584      8.40
Vardas585       Pavarde585      6.88
Vardas587       Pavarde587      8.56
Vardas588       Pavarde588      7.08
Vardas589       Pavarde589      5.04
Vardas592       Pavarde592      6.28
Vardas594       Pavarde594      5.40
Vardas595       Pavarde595      9.36
Vardas596       Pavarde596      6.08
Vardas598       Pavarde598      6.36
Vardas599       Pavarde599      6.48
Vardas603       Pavarde603      6.20
Vardas604       Pavarde604      5.28
Vardas606       Pavarde606      7.60
Vardas607       Pavarde607      5.80
Vardas610       Pavarde610      6.40
Vardas612       Pavarde612      6.20
Vardas616       Pavarde616      8.20
Vardas619       Pavarde619      6.88
Vardas620       Pavarde620      7.60
Vardas624       Pavarde624      6.76
Vardas627       Pavarde627      6.80
Vardas628       Pavarde628      5.84
Vardas629       Pavarde629      7.72
Vardas631       Pavarde631      6.40
Vardas632       Pavarde632      8.16
Vardas634       Pavarde634      6.60
Vardas636       Pavarde636      7.36
Vardas637       Pavarde637      7.04
Vardas638       Pavarde638      8.12
Vardas639       Pavarde639      5.76
Vardas640       Pavarde640      7.12
Vardas641       Pavarde641      6.52
Vardas643       Pavarde643      5.88
Vardas644       Pavarde644      5.32
Vardas645       Pavarde645      8.40
Vardas648       Pavarde648      5.28
Vardas649       Pavarde649      6.48
Vardas653       Pavarde653      5.24
Vardas656       Pavarde656      6.76
Vardas659       Pavarde659      6.04
Vardas661       Pavarde661      5.44
Vardas663       Pavarde663      6.16
Vardas664       Pavarde664      6.16
Vardas665       Pavarde665      6.04
Vardas666       Pavarde666      8.16
Vardas667       Pavarde667      8.16
Vardas670       Pavarde670      6.20
Vardas671       Pavarde671      6.80
Vardas674       Pavarde674      8.92
Vardas675       Pavarde675      5.48
Vardas676       Pavarde676      7.76
Vardas677       Pavarde677      8.08
Vardas678       Pavarde678      6.96
Vardas680       Pavarde680      7.56
Vardas682       Pavarde682      7.56
Vardas684       Pavarde684      5.56
Vardas688       Pavarde688      5.04
Vardas689       Pavarde689      8.64
Vardas691       Pavarde691      7.44
Vardas692       Pavarde692      6.40
Vardas693       Pavarde693      7.92
Vardas695       Pavarde695      7.24
Vardas696       Pavarde696      5.28
Vardas697       Pavarde697      6.36
Vardas701       Pavarde701      7.44
Vardas702       Pavarde702      6.56
Vardas703       Pavarde703      8.24
Vardas705       Pavarde705      5.48
Vardas706       Pavarde706      8.16
Vardas707       Pavarde707      5.00
Vardas709       Pavarde709      8.88
Vardas710       Pavarde710      5.96
Vardas711       Pavarde711      8.36
Vardas712       Pavarde712      7.64
Vardas713       Pavarde713      9.60
Vardas718       Pavarde718      7.80
Vardas719       Pavarde719      6.96
Vardas720       Pavarde720      8.48
Vardas721       Pavarde721      6.76
Vardas724       Pavarde724      5.16
Vardas725       Pavarde725      9.28
Vardas726       Pavarde726      6.24
Vardas727       Pavarde727      7.56
Vardas728       Pavarde728      8.56
Vardas730       Pavarde730      6.08
Vardas732       Pavarde732      7.04
Vardas734       Pavarde734      7.00
Vardas736       Pavarde736      6.08
Vardas738       Pavarde738      7.80
Vardas741       Pavarde741      7.80
Vardas743       Pavarde743      9.12
Vardas744       Pavarde744      8.20
Vardas747       Pavarde747      6.24
Vardas749       Pavarde749      7.12
Vardas750       Pavarde750      7.88
Vardas751       Pavarde751      6.56
Vardas753       Pavarde753      5.96
Vardas754       Pavarde754      6.76
Vardas755       Pavarde755      8.00
Vardas756       Pavarde756      5.12
Vardas757       Pavarde757      7.52
Vardas758       Pavarde758      6.32
Vardas759       Pavarde759      5.40
Vardas760       Pavarde760      7.92
Vardas761       Pavarde761      5.16
Vardas766       Pavarde766      7.68
Vardas768       Pavarde768      6.44
Vardas769       Pavarde769      6.44
Vardas772       Pavarde772      7.96
Vardas774       Pavarde774      7.76
Vardas775       Pavarde775      6.72
Vardas776       Pavarde776      6.84
Vardas777       Pavarde777      6.20
Vardas778       Pavarde778      8.08
Vardas779       Pavarde779      5.48
Vardas780       Pavarde780      6.84
Vardas781       Pavarde781      7.04
Vardas782       Pavarde782      8.40
Vardas783       Pavarde783      7.32
Vardas784       Pavarde784      5.04
Vardas785       Pavarde785      7.44
Vardas786       Pavarde786      7.20
Vardas787       Pavarde787      6.44
Vardas791       Pavarde791      5.00
Vardas792       Pavarde792      5.44
Vardas793       Pavarde793      8.96
Vardas794       Pavarde794      6.60
Vardas795       Pavarde795      6.36
Vardas796       Pavarde796      5.52
Vardas800       Pavarde800      5.68
Vardas801       Pavarde801      7.96
Vardas803       Pavarde803      5.76
Vardas804       Pavarde804      6.04
Vardas805       Pavarde805      6.84
Vardas806       Pavarde806      6.12
Vardas807       Pavarde807      7.64
Vardas809       Pavarde809      5.80
Vardas810       Pavarde810      6.84
Vardas811       Pavarde811      5.20
Vardas812       Pavarde812      6.80
Vardas813       Pavarde813      7.48
Vardas815       Pavarde815      6.36
Vardas816       Pavarde816      6.96
Vardas817       Pavarde817      5.44
Vardas819       Pavarde819      5.48
Vardas821       Pavarde821      6.12
Vardas822       Pavarde822      5.08
Vardas825       Pavarde825      7.92
Vardas826       Pavarde826      5.76
Vardas827       Pavarde827      6.80
Vardas828       Pavarde828      5.28
Vardas829       Pavarde829      8.24
Vardas833       Pavarde833      6.88
Vardas834       Pavarde834      5.68
Vardas835       Pavarde835      6.84
Vardas839       Pavarde839      7.64
Vardas841       Pavarde841      7.24
Vardas843       Pavarde843      6.56
Vardas844       Pavarde844      7.72
Vardas845       Pavarde845      5.56
Vardas848       Pavarde848      6.96
Vardas849       Pavarde849      5.52
Vardas852       Pavarde852      5.48
Vardas857       Pavarde857      7.28
Vardas858       Pavarde858      6.92
Vardas859       Pavarde859      7.12
Vardas861       Pavarde861      6.32
Vardas862       Pavarde862      7.32
Vardas864       Pavarde864      6.72
Vardas865       Pavarde865      8.72
Vardas866       Pavarde866      8.04
Vardas867       Pavarde867      6.76
Vardas868       Pavarde868      7.40
