Vardas         Pavardė       Galutinis (Vid.)
---------------------------------------------------------------------
vardas1        pavarde1        8.52
vardas2        pavarde2        8.12
vardas7        pavarde7        6.00
vardas8        pavarde8        5.68
vardas16       pavarde16       7.36
vardas17       pavarde17       5.88
vardas20       pavarde20       5.92
vardas22       pavarde22       7.44
vardas25       pavarde25       7.92
vardas30       pavarde30       6.08
vardas31       pavarde31       7.16
vardas32       pavarde32       7.36
vardas34       pavarde34       7.76
vardas35       pavarde35       8.20
vardas37       pavarde37       7.56
vardas39       pavarde39       5.56
vardas41       pavarde41       7.12
vardas42       pavarde42       6.92
vardas43       pavarde43       5.52
vardas45       pavarde45       8.24
vardas48       pavarde48       7.28
vardas49       pavarde49       5.08
vardas50       pavarde50       6.52
vardas52       pavarde52       6.16
vardas53       pavarde53       5.16
vardas54       pavarde54       6.28
vardas58       pavarde58       6.36
vardas59       pavarde59       8.88
vardas62       pavarde62       6.92
vardas67       pavarde67       5.68
vardas69       pavarde69       5.04
vardas70       pavarde70       7.12
vardas72       pavarde72       5.84
vardas73       pavarde73       7.36
vardas77       pavarde77       5.60
vardas78       pavarde78       5.00
vardas80       pavarde80       5.52
vardas82       pavarde82       7.88
vardas83       pavarde83       5.72
vardas87       pavarde87       7.16
vardas88       pavarde88       5.64
vardas89       pavarde89       6.28
vardas90       pavarde90       7.04
vardas92       pavarde92       7.76
vardas93       pavarde93       5.56
vardas94       pavarde94       5.80
vardas95       pavarde95       5.28
vardas96       pavarde96       6.96
vardas100      pavarde100      7.68
vardas102      pavarde102      5.56
vardas103      pavarde103      8.56
vardas105      pavarde105      7.92
vardas107      pavarde107      5.64
vardas111      pavarde111      7.28
vardas112      pavarde112      5.00
vardas113      pavarde113      7.68
vardas115      pavarde115      7.56
vardas116      pavarde116      5.72
vardas118      pavarde118      7.16
vardas120      pavarde120      6.64
vardas121      pavarde121      7.08
vardas126      pavarde126      5.40
vardas128      pavarde128      8.08
vardas129      pavarde129      7.08
vardas130      pavarde130      5.28
vardas132      pavarde132      7.72
vardas134      pavarde134      5.00
vardas135      pavarde135      6.56
vardas138      pavarde138      6.24
vardas139      pavarde139      7.44
vardas140      pavarde140      6.80
vardas142      pavarde142      5.20
vardas143      pavarde143      5.12
vardas144      pavarde144      6.64
vardas148      pavarde148      5.04
vardas150      pavarde150      5.36
vardas152      pavarde152      7.64
vardas153      pavarde153      6.16
vardas154      pavarde154      6.72
vardas155      pavarde155      7.92
vardas156      pavarde156      8.24
vardas157      pavarde157      5.64
vardas159      pavarde159      6.96
vardas160      pavarde160      6.08
vardas164      pavarde164      5.16
vardas165      pavarde165      7.44
vardas168      pavarde168      7.00
vardas171      pavarde171      7.28
vardas172      pavarde172      6.96
vardas173      pavarde173      7.20
vardas174      pavarde174      7.12
vardas175      pavarde175      7.36
vardas176      pavarde176      5.92
vardas177      pavarde177      7.16
vardas178      pavarde178      6.92
vardas179      pavarde179      7.00
vardas182      pavarde182      7.92
vardas184      pavarde184      7.56
vardas186      pavarde186      7.04
vardas190      pavarde190      6.92
vardas191      pavarde191      8.16
vardas193      pavarde193      7.16
vardas195      pavarde195      7.92
vardas198      pavarde198      7.80
vardas200      pavarde200      8.32
vardas201      pavarde201      7.24
vardas203      pavarde203      6.60
vardas205      pavarde205      7.44
vardas206      pavarde206      5.96
vardas210      pavarde210      5.40
vardas211      pavarde211      5.24
vardas215      pavarde215      5.92
vardas218      pavarde218      6.36
vardas223      pavarde223      5.44
vardas228      pavarde228      7.56
vardas229      pavarde229      8.48
vardas230      pavarde230      7.60
vardas232      pavarde232      7.00
vardas234      pavarde234      5.48
vardas235      pavarde235      5.40
vardas236      pavarde236      6.60
vardas239      pavarde239      6.28
vardas240      pavarde240      5.32
vardas243      pavarde243      8.88
vardas245      pavarde245      7.00
vardas247      pavarde247      8.00
vardas249      pavarde249      5.84
vardas250      pavarde250      6.76
vardas251      pavarde251      5.08
vardas252      pavarde252      6.76
vardas255      pavarde255      5.60
vardas256      pavarde256      5.68
vardas257      pavarde257      8.08
vardas259      pavarde259      7.08
vardas260      pavarde260      8.00
vardas266      pavarde266      6.44
vardas267      pavarde267      6.16
vardas268      pavarde268      7.48
vardas270      pavarde270      6.40
vardas271      pavarde271      7.44
vardas273      pavarde273      6.64
vardas274      pavarde274      7.12
vardas276      pavarde276      5.92
vardas277      pavarde277      7.12
vardas278      pavarde278      7.08
vardas279      pavarde279      5.64
vardas281      pavarde281      7.08
vardas282      pavarde282      8.16
vardas286      pavarde286      6.60
vardas288      pavarde288      8.16
vardas291      pavarde291      5.84
vardas294      pavarde294      6.68
vardas296      pavarde296      6.96
vardas297      pavarde297      6.36
vardas298      pavarde298      7.92
vardas301      pavarde301      7.28
vardas304      pavarde304      5.36
vardas307      pavarde307      8.80
vardas309      pavarde309      5.60
vardas310      pavarde310      8.12
vardas311      pavarde311      6.56
vardas312      pavarde312      8.32
vardas316      pavarde316      6.92
vardas318      pavarde318      7.72
vardas319      pavarde319      6.16
vardas320      pavarde320      5.40
vardas323      pavarde323      7.04
vardas327      pavarde327      6.28
vardas329      pavarde329      8.00
vardas331      pavarde331      6.56
vardas333      pavarde333      8.64
vardas339      pavarde339      7.00
vardas341      pavarde341      7.96
vardas343      pavarde343      7.60
vardas344      pavarde344      8.08
vardas347      pavarde347      6.48
vardas348      pavarde348      6.20
vardas349      pavarde349      6.40
vardas350      pavarde350      6.40
vardas351      pavarde351      8.72
vardas352      pavarde352      5.20
vardas353      pavarde353      7.16
vardas357      pavarde357      6.88
vardas361      pavarde361      8.32
vardas362      pavarde362      6.12
vardas363      pavarde363      6.36
vardas364      pavarde364      6.60
vardas365      pavarde365      8.16
vardas366      pavarde366      7.28
vardas367      pavarde367      8.20
vardas369      pavarde369      8.56
vardas370      pavarde370      5.48
vardas372      pavarde372      8.32
vardas378      pavarde378      7.84
vardas384      pavarde384      6.88
vardas385      pavarde385      6.00
vardas388      pavarde388      7.48
vardas396      pavarde396      5.32
vardas401      pavarde401      8.56
vardas402      pavarde402      5.04
vardas403      pavarde403      6.40
vardas404      pavarde404      7.40
vardas405      pavarde405      5.88
vardas407      pavarde407      7.64
vardas409      pavarde409      6.24
vardas411      pavarde411      7.32
vardas413      pavarde413      6.16
vardas414      pavarde414      8.48
vardas416      pavarde416      7.68
vardas417      pavarde417      6.52
vardas419      pavarde419      7.20
vardas420      pavarde420      7.64
vardas421      pavarde421      6.72
vardas424      pavarde424      6.60
vardas425      pavarde425      5.44
vardas429      pavarde429      6.40
vardas430      pavarde430      8.08
vardas432      pavarde432      6.36
vardas434      pavarde434      6.80
vardas435      pavarde435      6.92
vardas436      pavarde436      6.88
vardas439      pavarde439      8.16
vardas441      pavarde441      7.68
vardas442      pavarde442      7.60
vardas444      pavarde444      5.04
