Vardas   Pavarde  ND1  ND2  ND3  ND4  ND5Egzaminas
Vardas1  Pavarde1    7   10    7    7    8    6
Vardas2  Pavarde2    7    3   10    7    3   10
Vardas3  Pavarde3    3    3    8   10    4    3
Vardas4  Pavarde4    9    3    6    1    8    2
Vardas5  Pavarde5    3    2    7    9    8    5
Vardas6  Pavarde6   10    6    4    6    2    3
Vardas7  Pavarde7    3    8    6    5    5    8
Vardas8  Pavarde8    4    9    3    1   10    6
Vardas9  Pavarde9    5   10   10   10   10    8
Vardas10 Pavarde10    2    4    1   10    2    8
Vardas11 Pavarde11    4    3    4    9    1    5
Vardas12 Pavarde12    1    3    5    8    9    9
Vardas13 Pavarde13    8    3    9   10    5    8
Vardas14 Pavarde14    7   10    7    7    1    8
Vardas15 Pavarde15    6    4    2    6    3    5
Vardas16 Pavarde16    3    8    8    8    8    8
Vardas17 Pavarde17    3    1    2    7    8    1
Vardas18 Pavarde18    7    7    5    7    6    9
Vardas19 Pavarde19    4    3    8    2    1    1
Vardas20 Pavarde20    9    6    4    2    1    9
Vardas21 Pavarde21    7    5    6    6    3    6
Vardas22 Pavarde22    5    5    6    6    3    5
Vardas23 Pavarde23    8    1    2    2    7    9
Vardas24 Pavarde24    1    2    3   10    3    3
Vardas25 Pavarde25    2    3    8    6    5    8
Vardas26 Pavarde26    6    3    3    3    8    5
Vardas27 Pavarde27    8    2    1    3    9    5
Vardas28 Pavarde28   10    9    7    1   10    5
Vardas29 Pavarde29    9    2    6    2    4   10
Vardas30 Pavarde30    4    5    2    4   10    8
Vardas31 Pavarde31    1    5   10    5    8    9
Vardas32 Pavarde32    1    7    2    1    2    1
Vardas33 Pavarde33    7    1    9    5    1   10
Vardas34 Pavarde34    9    1    2    6    4    5
Vardas35 Pavarde35    7   10    9    1    3    1
Vardas36 Pavarde36    8    3    7   10   10    6
Vardas37 Pavarde37    8   10    3   10    1    4
Vardas38 Pavarde38    2    9    6   10    4    6
Vardas39 Pavarde39    1    4    8    2    2    4
Vardas40 Pavarde40    8    8    3    9    8    5
Vardas41 Pavarde41    9    8    9    7    7    8
Vardas42 Pavarde42    3    6    8    7    7   10
Vardas43 Pavarde43    2    8   10    7    9    5
Vardas44 Pavarde44    4   10    9    1    3   10
Vardas45 Pavarde45    4    1    9    6    9    7
Vardas46 Pavarde46    2    9    6    3    5    4
Vardas47 Pavarde47    2    7    9    9    5    8
Vardas48 Pavarde48   10    6    7    2    2    6
Vardas49 Pavarde49    6    5    7    4    8    9
Vardas50 Pavarde50    5    1    1    4    9    1
Vardas51 Pavarde51    2    2    9    7    4    4
Vardas52 Pavarde52    2    6    2    2    6    7
Vardas53 Pavarde53    9    8    2    6    9    6
Vardas54 Pavarde54    3    4   10    9   10    7
Vardas55 Pavarde55    9    6   10    2    1    8
Vardas56 Pavarde56    2    2    1    1   10    5
Vardas57 Pavarde57    6    1   10    7    3    5
Vardas58 Pavarde58    5    1    4    9    8    2
Vardas59 Pavarde59    6   10    8    5   10    9
Vardas60 Pavarde60    4    1    4    5    2    5
Vardas61 Pavarde61    4    3    6    4    5    8
Vardas62 Pavarde62    8   10    8    9    9   10
Vardas63 Pavarde63    6    5    3    9    5    2
Vardas64 Pavarde64    1   10    2    8    7    3
Vardas65 Pavarde65    6    2    3    1    6    6
Vardas66 Pavarde66    5    9    9    3    2    5
Vardas67 Pavarde67   10    2    5    9   10    5
Vardas68 Pavarde68    1    7    1    3    6    6
Vardas69 Pavarde69    6    8    5    9    7    3
Vardas70 Pavarde70    2    4    4    6    4    9
Vardas71 Pavarde71    2    1    9    2    3    1
Vardas72 Pavarde72    6    4    4    2    4    5
Vardas73 Pavarde73    6    4    2    9    8    7
Vardas74 Pavarde74    4    4    4   10    2   10
Vardas75 Pavarde75    3    3    3    6    1    8
Vardas76 Pavarde76    7    2    8    5    3    2
Vardas77 Pavarde77    7    8    7   10   10    1
Vardas78 Pavarde78    5    7    4    8    7    2
Vardas79 Pavarde79    4    2    7    9    2    8
Vardas80 Pavarde80   10    6    3    4    3    3
Vardas81 Pavarde81    1    1    6    1    6    8
Vardas82 Pavarde82    2    2    7    9    4    8
Vardas83 Pavarde83    1   10    5    4    7    3
Vardas84 Pavarde84    7    2    5    3    2    6
Vardas85 Pavarde85    3    1    3    7    6    7
Vardas86 Pavarde86    1    6    8    6    8    5
Vardas87 Pavarde87    5   10    8    1   10    1
Vardas88 Pavarde88    9   10    2    5    5   10
Vardas89 Pavarde89    7    4    1    1    6    2
Vardas90 Pavarde90    8   10    4    2    6    9
Vardas91 Pavarde91    9    6    7    8    1    4
Vardas92 Pavarde92    2    7    5    9    8    6
Vardas93 Pavarde93    2    8    7    3    4    2
Vardas94 Pavarde94    3   10    5    5    3    2
Vardas95 Pavarde95    9    2    2    2    4    7
Vardas96 Pavarde96    3    4    5    9    1    7
Vardas97 Pavarde97    4    4    4    9    2    1
Vardas98 Pavarde98    6    5   10    3    8    3
Vardas99 Pavarde99    4    2    4   10    6    6
Vardas100Pavarde100    1    6   10    4    8    5
