Vardas         Pavardė       Galutinis (Vid.)
---------------------------------------------------------------------
vardas1        pavarde1        8.52
vardas2        pavarde2        8.12
vardas3        pavarde3        1.52
vardas4        pavarde4        2.24
vardas5        pavarde5        3.64
vardas6        pavarde6        4.04
vardas7        pavarde7        6.00
vardas8        pavarde8        5.68
vardas9        pavarde9        3.40
vardas10       pavarde10       2.64
vardas11       pavarde11       3.56
vardas12       pavarde12       3.04
vardas13       pavarde13       1.60
vardas14       pavarde14       4.56
vardas15       pavarde15       4.00
vardas16       pavarde16       7.36
vardas17       pavarde17       5.88
vardas18       pavarde18       2.72
vardas19       pavarde19       4.92
vardas20       pavarde20       5.92
vardas21       pavarde21       1.84
vardas22       pavarde22       7.44
vardas23       pavarde23       4.40
vardas24       pavarde24       2.48
vardas25       pavarde25       7.92
vardas26       pavarde26       4.56
vardas27       pavarde27       4.36
vardas28       pavarde28       3.64
vardas29       pavarde29       3.32
vardas30       pavarde30       6.08
vardas31       pavarde31       7.16
vardas32       pavarde32       7.36
vardas33       pavarde33       2.92
vardas34       pavarde34       7.76
vardas35       pavarde35       8.20
vardas36       pavarde36       2.88
vardas37       pavarde37       7.56
vardas38       pavarde38       2.48
vardas39       pavarde39       5.56
vardas40       pavarde40       2.16
vardas41       pavarde41       7.12
vardas42       pavarde42       6.92
vardas43       pavarde43       5.52
vardas44       pavarde44       3.16
vardas45       pavarde45       8.24
vardas46       pavarde46       3.48
vardas47       pavarde47       3.76
vardas48       pavarde48       7.28
vardas49       pavarde49       5.08
vardas50       pavarde50       6.52
vardas51       pavarde51       4.36
vardas52       pavarde52       6.16
vardas53       pavarde53       5.16
vardas54       pavarde54       6.28
vardas55       pavarde55       4.00
vardas56       pavarde56       4.80
vardas57       pavarde57       3.80
vardas58       pavarde58       6.36
vardas59       pavarde59       8.88
vardas60       pavarde60       3.84
vardas61       pavarde61       2.56
vardas62       pavarde62       6.92
vardas63       pavarde63       4.40
vardas64       pavarde64       3.28
vardas65       pavarde65       1.52
vardas66       pavarde66       2.32
vardas67       pavarde67       5.68
vardas68       pavarde68       4.84
vardas69       pavarde69       5.04
vardas70       pavarde70       7.12
vardas71       pavarde71       2.52
vardas72       pavarde72       5.84
vardas73       pavarde73       7.36
vardas74       pavarde74       3.00
vardas75       pavarde75       3.44
vardas76       pavarde76       4.80
vardas77       pavarde77       5.60
vardas78       pavarde78       5.00
vardas79       pavarde79       2.92
vardas80       pavarde80       5.52
vardas81       pavarde81       2.24
vardas82       pavarde82       7.88
vardas83       pavarde83       5.72
vardas84       pavarde84       2.32
vardas85       pavarde85       1.60
vardas86       pavarde86       2.44
vardas87       pavarde87       7.16
vardas88       pavarde88       5.64
vardas89       pavarde89       6.28
vardas90       pavarde90       7.04
vardas91       pavarde91       4.40
vardas92       pavarde92       7.76
vardas93       pavarde93       5.56
vardas94       pavarde94       5.80
vardas95       pavarde95       5.28
vardas96       pavarde96       6.96
vardas97       pavarde97       3.04
vardas98       pavarde98       2.28
vardas99       pavarde99       4.92
vardas100      pavarde100      7.68
vardas101      pavarde101      4.28
vardas102      pavarde102      5.56
vardas103      pavarde103      8.56
vardas104      pavarde104      3.44
vardas105      pavarde105      7.92
vardas106      pavarde106      2.36
vardas107      pavarde107      5.64
vardas108      pavarde108      4.36
vardas109      pavarde109      1.64
vardas110      pavarde110      2.36
vardas111      pavarde111      7.28
vardas112      pavarde112      5.00
vardas113      pavarde113      7.68
vardas114      pavarde114      3.96
vardas115      pavarde115      7.56
vardas116      pavarde116      5.72
vardas117      pavarde117      4.08
vardas118      pavarde118      7.16
vardas119      pavarde119      4.08
vardas120      pavarde120      6.64
vardas121      pavarde121      7.08
vardas122      pavarde122      1.28
vardas123      pavarde123      3.80
vardas124      pavarde124      4.24
vardas125      pavarde125      3.40
vardas126      pavarde126      5.40
vardas127      pavarde127      2.28
vardas128      pavarde128      8.08
vardas129      pavarde129      7.08
vardas130      pavarde130      5.28
vardas131      pavarde131      2.44
vardas132      pavarde132      7.72
vardas133      pavarde133      1.84
vardas134      pavarde134      5.00
vardas135      pavarde135      6.56
vardas136      pavarde136      2.96
vardas137      pavarde137      3.52
vardas138      pavarde138      6.24
vardas139      pavarde139      7.44
vardas140      pavarde140      6.80
vardas141      pavarde141      1.24
vardas142      pavarde142      5.20
vardas143      pavarde143      5.12
vardas144      pavarde144      6.64
vardas145      pavarde145      3.96
vardas146      pavarde146      4.72
vardas147      pavarde147      2.08
vardas148      pavarde148      5.04
vardas149      pavarde149      2.60
vardas150      pavarde150      5.36
vardas151      pavarde151      2.40
vardas152      pavarde152      7.64
vardas153      pavarde153      6.16
vardas154      pavarde154      6.72
vardas155      pavarde155      7.92
vardas156      pavarde156      8.24
vardas157      pavarde157      5.64
vardas158      pavarde158      2.68
vardas159      pavarde159      6.96
vardas160      pavarde160      6.08
vardas161      pavarde161      3.20
vardas162      pavarde162      3.96
vardas163      pavarde163      3.76
vardas164      pavarde164      5.16
vardas165      pavarde165      7.44
vardas166      pavarde166      4.76
vardas167      pavarde167      4.36
vardas168      pavarde168      7.00
vardas169      pavarde169      4.72
vardas170      pavarde170      3.16
vardas171      pavarde171      7.28
vardas172      pavarde172      6.96
vardas173      pavarde173      7.20
vardas174      pavarde174      7.12
vardas175      pavarde175      7.36
vardas176      pavarde176      5.92
vardas177      pavarde177      7.16
vardas178      pavarde178      6.92
vardas179      pavarde179      7.00
vardas180      pavarde180      3.12
vardas181      pavarde181      1.96
vardas182      pavarde182      7.92
vardas183      pavarde183      3.76
vardas184      pavarde184      7.56
vardas185      pavarde185      2.48
vardas186      pavarde186      7.04
vardas187      pavarde187      3.16
vardas188      pavarde188      2.08
vardas189      pavarde189      4.84
vardas190      pavarde190      6.92
vardas191      pavarde191      8.16
vardas192      pavarde192      4.88
vardas193      pavarde193      7.16
vardas194      pavarde194      4.48
vardas195      pavarde195      7.92
vardas196      pavarde196      2.40
vardas197      pavarde197      4.88
vardas198      pavarde198      7.80
vardas199      pavarde199      4.28
vardas200      pavarde200      8.32
vardas201      pavarde201      7.24
vardas202      pavarde202      4.40
vardas203      pavarde203      6.60
vardas204      pavarde204      3.96
vardas205      pavarde205      7.44
vardas206      pavarde206      5.96
vardas207      pavarde207      2.60
vardas208      pavarde208      3.72
vardas209      pavarde209      3.60
vardas210      pavarde210      5.40
vardas211      pavarde211      5.24
vardas212      pavarde212      4.76
vardas213      pavarde213      3.12
vardas214      pavarde214      2.84
vardas215      pavarde215      5.92
vardas216      pavarde216      2.84
vardas217      pavarde217      4.80
vardas218      pavarde218      6.36
vardas219      pavarde219      3.68
vardas220      pavarde220      2.76
vardas221      pavarde221      4.64
vardas222      pavarde222      3.20
vardas223      pavarde223      5.44
vardas224      pavarde224      1.76
vardas225      pavarde225      3.24
