Vardas         Pavardė       Galutinis (Vid.)
---------------------------------------------------------------------
vardas3        pavarde3        1.52
vardas4        pavarde4        2.24
vardas5        pavarde5        3.64
vardas6        pavarde6        4.04
vardas9        pavarde9        3.40
vardas10       pavarde10       2.64
vardas11       pavarde11       3.56
vardas12       pavarde12       3.04
vardas13       pavarde13       1.60
vardas14       pavarde14       4.56
vardas15       pavarde15       4.00
vardas18       pavarde18       2.72
vardas19       pavarde19       4.92
vardas21       pavarde21       1.84
vardas23       pavarde23       4.40
vardas24       pavarde24       2.48
vardas26       pavarde26       4.56
vardas27       pavarde27       4.36
vardas28       pavarde28       3.64
vardas29       pavarde29       3.32
vardas33       pavarde33       2.92
vardas36       pavarde36       2.88
vardas38       pavarde38       2.48
vardas40       pavarde40       2.16
vardas44       pavarde44       3.16
vardas46       pavarde46       3.48
vardas47       pavarde47       3.76
vardas51       pavarde51       4.36
vardas55       pavarde55       4.00
vardas56       pavarde56       4.80
vardas57       pavarde57       3.80
vardas60       pavarde60       3.84
vardas61       pavarde61       2.56
vardas63       pavarde63       4.40
vardas64       pavarde64       3.28
vardas65       pavarde65       1.52
vardas66       pavarde66       2.32
vardas68       pavarde68       4.84
vardas71       pavarde71       2.52
vardas74       pavarde74       3.00
vardas75       pavarde75       3.44
vardas76       pavarde76       4.80
vardas79       pavarde79       2.92
vardas81       pavarde81       2.24
vardas84       pavarde84       2.32
vardas85       pavarde85       1.60
vardas86       pavarde86       2.44
vardas91       pavarde91       4.40
vardas97       pavarde97       3.04
vardas98       pavarde98       2.28
vardas99       pavarde99       4.92
vardas101      pavarde101      4.28
vardas104      pavarde104      3.44
vardas106      pavarde106      2.36
vardas108      pavarde108      4.36
vardas109      pavarde109      1.64
vardas110      pavarde110      2.36
vardas114      pavarde114      3.96
vardas117      pavarde117      4.08
vardas119      pavarde119      4.08
vardas122      pavarde122      1.28
vardas123      pavarde123      3.80
vardas124      pavarde124      4.24
vardas125      pavarde125      3.40
vardas127      pavarde127      2.28
vardas131      pavarde131      2.44
vardas133      pavarde133      1.84
vardas136      pavarde136      2.96
vardas137      pavarde137      3.52
vardas141      pavarde141      1.24
vardas145      pavarde145      3.96
vardas146      pavarde146      4.72
vardas147      pavarde147      2.08
vardas149      pavarde149      2.60
vardas151      pavarde151      2.40
vardas158      pavarde158      2.68
vardas161      pavarde161      3.20
vardas162      pavarde162      3.96
vardas163      pavarde163      3.76
vardas166      pavarde166      4.76
vardas167      pavarde167      4.36
vardas169      pavarde169      4.72
vardas170      pavarde170      3.16
vardas180      pavarde180      3.12
vardas181      pavarde181      1.96
vardas183      pavarde183      3.76
vardas185      pavarde185      2.48
vardas187      pavarde187      3.16
vardas188      pavarde188      2.08
vardas189      pavarde189      4.84
vardas192      pavarde192      4.88
vardas194      pavarde194      4.48
vardas196      pavarde196      2.40
vardas197      pavarde197      4.88
vardas199      pavarde199      4.28
vardas202      pavarde202      4.40
vardas204      pavarde204      3.96
vardas207      pavarde207      2.60
vardas208      pavarde208      3.72
vardas209      pavarde209      3.60
vardas212      pavarde212      4.76
vardas213      pavarde213      3.12
vardas214      pavarde214      2.84
vardas216      pavarde216      2.84
vardas217      pavarde217      4.80
vardas219      pavarde219      3.68
vardas220      pavarde220      2.76
vardas221      pavarde221      4.64
vardas222      pavarde222      3.20
vardas224      pavarde224      1.76
vardas225      pavarde225      3.24
vardas226      pavarde226      3.76
vardas227      pavarde227      2.88
vardas231      pavarde231      4.64
vardas233      pavarde233      3.56
vardas237      pavarde237      2.36
vardas238      pavarde238      4.40
vardas241      pavarde241      1.12
vardas242      pavarde242      4.64
vardas244      pavarde244      3.36
vardas246      pavarde246      0.96
vardas248      pavarde248      2.80
vardas253      pavarde253      2.64
vardas254      pavarde254      3.88
vardas258      pavarde258      2.96
vardas261      pavarde261      4.84
vardas262      pavarde262      2.32
vardas263      pavarde263      3.32
vardas264      pavarde264      2.32
vardas265      pavarde265      4.64
vardas269      pavarde269      3.44
vardas272      pavarde272      4.84
vardas275      pavarde275      2.16
vardas280      pavarde280      3.92
vardas283      pavarde283      3.48
vardas284      pavarde284      4.40
vardas285      pavarde285      3.80
vardas287      pavarde287      4.64
vardas289      pavarde289      1.76
vardas290      pavarde290      3.92
vardas292      pavarde292      4.60
vardas293      pavarde293      4.48
vardas295      pavarde295      2.52
vardas299      pavarde299      3.16
vardas300      pavarde300      1.92
vardas302      pavarde302      4.28
vardas303      pavarde303      2.80
vardas305      pavarde305      3.52
vardas306      pavarde306      4.92
vardas308      pavarde308      2.08
vardas313      pavarde313      4.52
vardas314      pavarde314      2.08
vardas315      pavarde315      2.72
vardas317      pavarde317      2.12
vardas321      pavarde321      4.28
vardas322      pavarde322      1.28
vardas324      pavarde324      3.48
vardas325      pavarde325      2.44
vardas326      pavarde326      2.84
vardas328      pavarde328      3.28
vardas330      pavarde330      4.36
vardas332      pavarde332      1.92
vardas334      pavarde334      2.68
vardas335      pavarde335      4.20
vardas336      pavarde336      4.72
vardas337      pavarde337      2.32
vardas338      pavarde338      2.64
vardas340      pavarde340      3.72
vardas342      pavarde342      4.24
vardas345      pavarde345      2.36
vardas346      pavarde346      3.24
vardas354      pavarde354      3.88
vardas355      pavarde355      4.76
vardas356      pavarde356      4.16
vardas358      pavarde358      3.48
vardas359      pavarde359      3.76
vardas360      pavarde360      3.92
vardas368      pavarde368      1.80
vardas371      pavarde371      4.40
vardas373      pavarde373      2.60
vardas374      pavarde374      2.48
vardas375      pavarde375      4.76
vardas376      pavarde376      2.44
vardas377      pavarde377      1.20
vardas379      pavarde379      2.64
vardas380      pavarde380      3.12
vardas381      pavarde381      2.12
vardas382      pavarde382      3.72
vardas383      pavarde383      2.12
vardas386      pavarde386      3.28
vardas387      pavarde387      1.92
vardas389      pavarde389      3.68
vardas390      pavarde390      4.64
vardas391      pavarde391      4.84
vardas392      pavarde392      4.00
vardas393      pavarde393      2.92
vardas394      pavarde394      3.52
vardas395      pavarde395      3.00
vardas397      pavarde397      3.28
vardas398      pavarde398      3.68
vardas399      pavarde399      4.20
vardas400      pavarde400      3.40
vardas406      pavarde406      3.20
vardas408      pavarde408      4.52
vardas410      pavarde410      2.28
vardas412      pavarde412      3.64
vardas415      pavarde415      2.16
vardas418      pavarde418      4.72
vardas422      pavarde422      4.80
vardas423      pavarde423      3.68
vardas426      pavarde426      1.76
vardas427      pavarde427      1.92
vardas428      pavarde428      4.20
vardas431      pavarde431      2.60
vardas433      pavarde433      4.72
vardas437      pavarde437      4.08
vardas438      pavarde438      1.96
